Model,Language,Shot Type,Total Samples,Correct,Accuracy,Avg Story Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Total Tokens,Correct Tokens,Prompt Tokens,Output Tokens,Reasoning Tokens,Time Usage
Llama_3_1_405B,en,0,1532,1332,0.869452,0.8786651423396785,0.8484375,0.8405572755417957,0.8444790046656299,543,97,789,103,812757,0,0,0,0,943.6804723739624
Claude_3_5_Sonnet,en,0,1532,1291,0.842689,0.8521677934005689,0.8886756238003839,0.7167182662538699,0.7934875749785776,463,58,828,183,862463,0,0,0,0,2818.467608690262
GPT_o1_Preview,en,0,1532,1270,0.828982,0.8240846320267454,0.8392226148409894,0.7352941176470589,0.7838283828382839,475,91,795,171,2801787,0,0,0,0,19780.27200126648
Qwen_2_72B,en,0,1532,1255,0.819191,0.822456447302784,0.8360655737704918,0.7105263157894737,0.7682008368200837,459,90,796,187,811597,0,0,0,0,752.0359942913055
Llama_3_1_70B,en,0,1532,1249,0.815274,0.8249067434975592,0.7704918032786885,0.8003095975232198,0.7851176917236142,517,154,732,129,812740,0,0,0,0,600.1338942050934
Moonshot_v1_8k,en,0,1532,1246,0.813316,0.8175625461338647,0.8092783505154639,0.7291021671826625,0.7671009771986971,471,111,775,175,842611,0,0,0,0,737.7454526424408
GPT_4o,en,0,1532,1219,0.795692,0.7948490571624396,0.9012048192771084,0.5789473684210527,0.704995287464656,374,41,845,272,790283,0,0,0,0,2498.374797105789
GPT_o1_Mini,en,0,1532,1151,0.751305,0.7560289093784703,0.7514231499051234,0.6130030959752322,0.6751918158567775,396,131,755,250,2506639,0,0,0,0,11664.913441896439
Deepseek_V2_5,en,0,1532,1048,0.684073,0.6846515223081002,0.8584070796460177,0.30030959752321984,0.4449541284403669,194,32,854,452,832134,0,0,0,0,796.690279006958

GPT_4o,zh,0,1532,1343,0.876632,0.8805075090193432,0.8701298701298701,0.8310077519379845,0.8501189532117367,536,80,807,109,858874,0,0,0,0,4322.66012096405
Claude_3_5_Sonnet,zh,0,1532,1341,0.875326,0.8763277634370624,0.8940972222222222,0.7984496124031008,0.8435708435708436,515,61,826,130,1246839,0,0,0,0,6091.6362998485565
GPT_o1_Preview,zh,0,1532,1293,0.843995,0.8464932189895658,0.8417508417508418,0.7751937984496124,0.8071025020177564,500,94,793,145,2968696,0,0,0,0,19290.773822784424
Qwen_2_72B,zh,0,1532,1270,0.828982,0.8361637662275313,0.8718446601941747,0.6961240310077519,0.7741379310344827,449,66,821,196,777707,0,0,0,0,738.7315423488617
Moonshot_v1_8k,zh,0,1532,1257,0.820496,0.8279999217830203,0.8627450980392157,0.6821705426356589,0.761904761904762,440,70,817,205,740412,0,0,0,0,887.7443685531616
Llama_3_1_405B,zh,0,1532,1253,0.817885,0.8239299507828439,0.7194244604316546,0.9302325581395349,0.8113590263691683,600,234,653,45,916427,0,0,0,0,1140.094533443451
Deepseek_V2_5,zh,0,1532,1222,0.79765,0.8048299508679831,0.8142589118198874,0.6728682170542636,0.736842105263158,434,99,788,211,761646,0,0,0,0,716.3461933135986
Llama_3_1_70B,zh,0,1532,1200,0.78329,0.7943612365873135,0.7595356550580431,0.710077519379845,0.733974358974359,458,145,742,187,916423,0,0,0,0,620.7377169132233
GPT_o1_Mini,zh,0,1532,1129,0.736945,0.7365947942709024,0.742,0.5751937984496124,0.6480349344978167,371,129,758,274,2325907,0,0,0,0,9703.2205555439
